№;Название продукта;Что делает продукт/сервис;Какие проблемы помогает решить
1;Инжиниринг и сопровождение строительства;Услуги технического надзора, инжиниринга и сопровождения строительных проектов;Риски срывов сроков и качества в строительстве
2;Консультация по РКО;Консультации специалиста по РКО (тарифы, счета, платежи);Сложности с тарифами РКО
3;HR-платформа Saby;Облачная HRM-система: учёт кадров, зарплата, ЭДО, подбор, KPI, отчётность;Ручные HR-процессы, ошибки, compliance
4;Личная защита+;Расширенный страховой продукт личной защиты;Риски здоровью и жизни владельца бизнеса / ключевых сотрудников
5;21. Договорная гарантия/ гарантия качества;Банковская гарантия исполнения договорных обязательств;Необходимость обеспечения без заморозки средств, риски неисполнения контракта
6;BenefittY – платформа управления программой лояльности;SaaS-платформа для программ лояльности: бонусы, акции, анализ;Низкое удержание клиентов, отсутствие персонализации
7;Консультация по ИИ;Консультации по внедрению ИИ в бизнес;Отсутствие экспертизы в ИИ
8;Панель Туризм;Аналитическая панель по данным туристического рынка;Отсутствие аналитики туризма
9;Овердрафтный кредит Стандарт индивидуальная ставка;Краткосрочный овердрафт на кассовые разрывы;Кассовые разрывы
10;Консультация по спецсчету капремонта;Консультации по спецсчетам капитального ремонта;Сложности со спецсчетами ЖКХ / капремонта
11;25. Налоговая гарантия возмещения НДС;Банковская гарантия для ускоренного возмещения НДС;Задержки возврата НДС, необходимость обеспечения
12;Расчетные счета ЮЛ/ИП;Открытие и ведение расчётных счетов для ЮЛ и ИП;Отсутствие удобного РКО
13;Оборотный кредит с льготным периодом КВК публичная ставка;Оборотный кредит с льготным периодом;Недостаток оборотных средств
14;СберБизнес.УСН онлайн;Сервис онлайн-сдачи отчётности по УСН;Сложности с налоговой отчётностью на УСН
15;Опция "Безлимитные платежи юрлицам в другие банки";Опция с безлимитными платежами юрлицам;Ограничения по платежам в другие банки
16;Toka – сервис для управления рестораном;Автоматизация ресторана: учёт, заказы, аналитика;Разрозненные процессы в ресторанах
17;Международные расчеты корпоративных клиентов с участием партнерских структур;Международные расчёты с партнёрами;Сложности с трансграничными платежами
18;38. Основное финансирование в рамках Продукта "2 в 1";Финансирование в рамках продукта "2 в 1";Потребность в проектном финансировании строительства
