signal_id	signal	segment_group
signal1	Клиент запустил сайт	micro_small
signal2	Клиент стал селлером на маркетплейсе	micro_small
signal3	Клиент перестал зачислять выручку от МП на счет в Сбере	micro_small
signal4	Клиент впервые соответствует критериям государственной программы	micro_small
signal5	ФОТ клиента изменился	micro_small
signal6	Клиент попал в реестр недобросовестных поставщиков	micro_small
signal7	Клиент участвовал в торгах, но 3 месяца не побеждал	micro_small
signal8	Выручка в канале ОПТ изменилась	micro_small
signal9	Выручка в канале оффлайн изменилась	micro_small
signal10	Выручка в канале онлайн изменилась	micro_small
signal11	Падение выручки в канале ОПТ (Сбер)	micro_small
signal12	Падение выручки в канале оффлайн (Сбер)	micro_small
signal13	Падение выручки в канале онлайн (Сбер)	micro_small
signal14	Выручка в канале Маркетплейсы по счетам в Сбере изменилась	micro_small
signal15	Количество уникальных покупателей в канале ОПТ изменилось	micro_small
signal16	Количество покупок в канале оффлайн изменилось	micro_small
signal17	Количество покупок в канале онлайн изменилось	micro_small
signal18	Падение контрагентов в канале ОПТ (Сбер)	micro_small
signal19	Падение контрагентов в канале оффлайн (Сбер)	micro_small
signal20	Падение контрагентов в канале онлайн (Сбер)	micro_small
signal21	Падение контрагентов в канале МП (Сбер)	micro_small
signal22	Численность сотрудников изменилась	micro_small
signal23	Соотношение расходов по кредитам к выручке изменилось	micro_small
signal24	Соотношение расходов на займы к выручке изменилось	micro_small
signal25	Соотношение расходов на страхование к выручке изменилось	micro_small
signal26	Соотношение расходов на комиссии по банковскиму обслуживанию к выручке изменилось	micro_small
signal27	Соотношение расходов на аренду к выручке изменилось	micro_small
signal28	Соотношение расходов на лизинг к выручке изменилось	micro_small
signal29	Соотношение расходов на штрафы к выручке изменилось	micro_small
signal30	Текучесть сотрудников у клиента за последние 3 месяца превысила 15%	micro_small
signal31	Выручка отрасли в районе торговой точки клиента изменилась	micro_small
signal32	Средний чек отрасли изменился в районе торговой точки клиента	micro_small
signal33	Доля выручки от агрегаторов ХоРеКи упала на Х%	micro_small
signal34	У клиента ОТР изменилась выручка	micro_small
signal35	Динамика выручки клиента отличается от конкурентов	micro_small
signal36	Динамика покупателей в канале ОПТ отличается от конкурентов	micro_small
signal37	Динамика доли новых покупателей отличается от конкурентов (ОТР В2В)	micro_small
signal38	Доля клиента на рынке транспортных услуг в регионе изменилась	micro_small
signal39	Динамика доли покупателей в зоне риска отличается от конкурентов	micro_small
signal40	Динамика доли лояльных покупателей отличается от конкурентов (ОТР В2В)	micro_small
signal41	Динамика доли спящих покупателей клиентов ОТР отличается от конкурентов	micro_small
signal47	Рейтинг торговой точки клиента снизился	micro_small
signal48	Сводный рейтинг торговых точек клиента снизился	micro_small
signal53	Выручка клиента за месяц изменилась	micro_small
signal54	Соотношение общих расходов к выручке изменилось	micro_small
signal55	Соотношение расходов на аренду недвижимости к выручке изменилось	micro_small
signal56	Соотношение расходов на ФОТ к выручке изменилось	micro_small
signal57	ЛПР клиента интересуется ФО в СББОЛ	micro_small
signal58	ЛПР клиента закрыл ПУ с премиальным обслуживанием в банке	micro_small
signal59	ЛПР клиента понизил уровень ПУ с премиальным обслуживанием в банке	micro_small
signal61	Соотношение расходов на логистику к выручке изменилось	micro_small
signal63	Изменение количества уникальных покупателей	micro_small
signal66	Клиент впервые открыл продукт банка (РКО/Экв/ЗП)	micro_small
signal67	У клиента изменился средний чек	micro_small
signal69	В субъекте РФ есть субсидия на приобретение торгового оборудования для отрасли HoReCa	micro_small
signal70	Клиент до конца года выходит за рамки лимита по УСН (выручка)	micro_small
signal71	Клиент до конца года выходит за рамки лимита по УСН (штат)	micro_small
signal72	Клиент до конца года превысит порог доходов для освобождения по НДС	micro_small
signal73	Клиент, относящийся к индустрии HoReCa не использует канал продаж Агрегаторы	micro_small
signal74	У клиента высокая зависимость от ограниченного количества поставщиков	micro_small
signal75	Динамика продаж категории товаров на МП Озон отличается от динамики в целом по МП	micro_small
signal76	Распроданность квартир на различных этапах строительства ниже чем в регионе	micro_small
signal77	Соотношение расходов на рекламу и маркетинг к выручке изменилось	micro_small
signal78	Средний чек торговой точки клиента ниже, чем у конкурентов	micro_small
signal79	Объем свободных денежных средств превышает 40% годовой выручки	micro_small
signal80	Динамика выручки клиента лучше динамики выручки конкурентов	micro_small
signal81	Поставщик клиента есть в реестре недобросовестных поставщиков	micro_small
signal82	Конкуренты клиента открывали новые торговые точки	micro_small
signal83	Значимая доля конкурентов работает на международном рынке (импорт)	micro_small
signal84	Конкуренты клиента имеют интернет-магазин	micro_small
signal85	Конкуренты клиента торгуют на маркетплейсах	micro_small
signal86	Значимая доля конкурентов работает на международном рынке (экспорт)	micro_small
signal87	Конкуренты клиента участвуют в торгах	micro_small
signal89	Наступил посевной сезон у клиента, который занимается растениеводством	micro_small
signal90	Для отрасли характерно ведение международного бизнеса (экспорт)	micro_small
signal91	Для отрасли характерно ведение международного бизнеса (импорт)	micro_small
signal92	Новость о стихийном бедствии в городе/области/регионе	micro_small
signal93	Объем закупок у ЮЛ-импортеров превысил 100тр за последние 3 месяца	micro_small
signal94	Освобождение от исполнения обязанностей плательщика НДС	micro_small
signal95	Франшиза, используемая клиентом, не представлена в субъекте федерации	micro_small
signal96	Переход АУСН для оптимизации налоговой нагрузки	micro_small
signal97	При коммуникации ЛПР упомянул цель бизнеса, релевантную стратегии	micro_small
signal98	Для отрасли клиента характерно наличие интернет-магазина	micro_small
signal99	Средний чек в канале оффлайн изменился	micro_small
signal100	Cредний чек в канале онлайн изменился	micro_small
signal101	Средний чек в канале опт изменился	micro_small
signal102	Значительная доля закупок приходится на поставщиков с высоким уровнем риска	micro_small
signal103	Клиент зарегистрировал бизнес	micro_small
signal104	Расходы на содержание транспорта изменились	micro_small
signal106	В отрасли клиента период повышенного спроса со стороны ФЛ на справки для налоговой	micro_small
signal107	"Замечена первая деловая активность у ""спящего"" клиента"	micro_small
signal108	ЛПР клиента интересуется Функциональной областью в СБОЛ	micro_small
signal109	Развивающее мероприятие по бизнесу от Сбера	micro_small
signal112	Текучесть сотрудников у клиента выше, чем в отрасли	micro_small
signal113	Для отрасли характерна передача бизнес-функции HR на аутсорс в сторонние специализированные компании-вендоры	micro_small
signal118	Для отрасли характерна передача бизнес-функции по облачным решениям на аутсорс в сторонние специализированные компании-вендоры	micro_small
signal119	Начался промысловый сезон у клиента, который занимается рыболовством	micro_small
signal120	Динамика продаж клиента на МП лучше, чем в оффлайн точках	micro_small
signal121	Обязательный переход на ЭДО участников логистических цепочек	micro_small
